-야/이야 (ya/i-ya)	Use casually with friends or fans. Example: 찐이야 = It is real.
예쁜이들 (ye-ppeu-ni-deul)	Pretty ones, a cute subscriber nickname. Example: 안녕 예쁜이들 = Hi, pretty ones.
오늘도 (o-neul-do)	Again today. Example: 오늘도 왔어 = I am here again today.
댓글 (daet-geul)	Online comment. Example: 댓글로 알려줘 = Tell me in the comments.
좋아요 (jo-a-yo)	Like button or I like it. Example: 좋아요 눌러줘 = Hit like.
구독 (gu-dok)	Subscribe. Example: 구독 눌러줘 = Subscribe, please.
사랑해요 (sa-rang-hae-yo)	Love you in a warm community way. Example: 사랑해요 = Love you.
안녕 예쁜이들, 오늘도 왔어 (an-nyeong ye-ppeu-ni-deul o-neul-do wass-eo)	Hey pretty ones, I am here again. Situation: Start your vlog in a cute style.
야, 다들 잘 지냈어? (ya da-deul jal ji-naess-eo)	Yo, have you all been good? Situation: Start your vlog in a cool style.
오늘도 봐줘서 고마워 (o-neul-do bwa-jwo-seo go-ma-wo)	Thanks for watching today. Situation: End your video warmly.
댓글로 알려줘 (daet-geul-lo al-ryeo-jwo)	Tell me in the comments. Situation: Ask viewers to comment.
좋아요 구독 눌러줘 (jo-a-yo gu-dok nul-reo-jwo)	Hit like and subscribe. Situation: Ask for like and subscribe.
ㅋㅋㅋ (keu-keu-keu)	Korean text laughter. Example: ㅋㅋㅋ 개웃겨 = Haha, so funny.
ㅠㅠ (yu-yu)	Crying face in Korean text. Example: 고마워 ㅠㅠ = Thank you, I am touched.
ㄹㅇ (ri-eol)	For real in internet slang. Example: ㄹㅇ 대박 = For real, amazing.
ㅇㅈ (in-jeong)	I agree in internet slang. Example: ㅇㅈ = facts, I agree.
개웃겨 (gae-ut-gyeo)	So funny in casual slang. Example: 개웃겨 = So funny.
미쳤어 (mi-chyeoss-eo)	That's insane, as a compliment. Example: 미쳤어 = That is amazing.
찐이야 (jjin-i-ya)	That's legit or real. Example: 이거 찐이야 = This is legit.
인정 (in-jeong)	I agree. Example: 인정 = I agree.
ㅋㅋㅋ 개웃겨 (keu-keu-keu gae-ut-gyeo)	Haha, so funny. Use when: React to something funny.
미쳤어! 대박! (mi-chyeoss-eo dae-bak)	That's insane, amazing. Use when: React to something impressive.
